symbol,yf_symbol,akshare_symbol,name,market,sector_tags,market_cap,pe,float_pct,tags,is_loss,is_low_cap
00209.HK,0209.HK,00209,瀛晟科学,HK,行业:家庭电器及用品,5.27,-5.68,100.0,【低市值】【亏损】【高流通】,1,1
01925.HK,1925.HK,01925,旷世芳香,HK,行业:家庭电器及用品,5.18,13.05,100.0,【低市值】【低PE】【高流通】,0,1
00529.HK,0529.HK,00529,SIS INT'L,HK,行业:资讯科技器材,5.17,8.55,100.0,【低市值】【低PE】【高流通】,0,1
08403.HK,8403.HK,08403,德丰宿来,HK,行业:媒体及娱乐,5.16,-27.43,100.0,【低市值】【亏损】【高流通】,1,1
00567.HK,0567.HK,00567,大昌微线集团,HK,电子信息,5.08,-26.34,100.0,【低市值】【亏损】【高流通】,1,1
02230.HK,2230.HK,02230,羚邦集团,HK,行业:媒体及娱乐,5.08,9.13,100.0,【低市值】【低PE】【高流通】,0,1
02405.HK,2405.HK,02405,力盟科技,HK,行业:媒体及娱乐,4.96,-14.05,100.0,【低市值】【亏损】【高流通】,1,1
01909.HK,1909.HK,01909,火岩控股,HK,"游戏概念,AIGC概念;行业:软件服务",4.95,-7.69,100.0,【低市值】【亏损】【高流通】,1,1
02350.HK,2350.HK,02350,数科集团,HK,行业:软件服务,4.88,-73.49,100.0,【低市值】【亏损】【高流通】,1,1
02540.HK,2540.HK,02540,乐思集团,HK,行业:媒体及娱乐,4.8,10.93,100.0,【低市值】【低PE】【高流通】,0,1
01673.HK,1673.HK,01673,华章科技,HK,工业4.0,4.79,-16.05,100.0,【低市值】【亏损】【高流通】,1,1
01282.HK,1282.HK,01282,中泽丰,HK,电子信息,4.7,-3.92,100.0,【低市值】【亏损】【高流通】,1,1
08247.HK,8247.HK,08247,中生北控生物科技,HK,AI智能医疗,4.62,-8.15,44.37,【低市值】【亏损】,1,1
02619.HK,2619.HK,02619,香江电器,HK,行业:家庭电器及用品,4.58,8.16,25.11,【低市值】【低PE】【低流通】,0,1
09955.HK,9955.HK,09955,智云健康,HK,SaaS概念,4.52,-0.44,100.0,【低市值】【亏损】【高流通】,1,1
02101.HK,2101.HK,02101,福禄控股,HK,SaaS概念;行业:媒体及娱乐,4.47,14.77,100.0,【低市值】【低PE】【高流通】,0,1
00229.HK,0229.HK,00229,利民实业,HK,行业:家庭电器及用品,4.46,9.61,100.0,【低市值】【低PE】【高流通】,0,1
01079.HK,1079.HK,01079,松景科技,HK,电子信息;行业:资讯科技器材,4.42,-24.22,100.0,【低市值】【亏损】【高流通】,1,1
00464.HK,0464.HK,00464,中国智能科技,HK,行业:家庭电器及用品,4.39,-9.21,100.0,【低市值】【亏损】【高流通】,1,1
00439.HK,0439.HK,00439,瀚源控股,HK,人工智能;行业:软件服务,4.37,-3.1,100.0,【低市值】【亏损】【高流通】,1,1
